64,77, 23.88, 27, 30, 35, 
278, 23.88, 27, 30, 36, 
278, 23.88, 27, 30, 37, 
279, 23.88, 27, 30, 38, 
7, 23.88, 27, 30, 34, 
277, 23.88, 27, 30, 35, 
278, 23.88, 27, 30, 36, 
278, 23.88, 27, 30, 37, 
279, 23.88, 27, 30, 38, 
7, 23.88, 27, 30, 34, 
277, 23.88, 27, 30, 35, 
278, 23.88, 27, 30, 36, 
278, 23.88, 27, 30, 37, 
279, 23.88, 27, 30, 38, 
0, 23.88, 27, 30, 1, 
1, 23.88, 27, 30, 2, 
1, 23.88, 27, 30, 3, 
2, 23.88, 27, 30, 4, 
2, 23.88, 27, 30, 5, 
3, 23.88, 27, 30, 6, 
3, 23.88, 27, 30, 7, 
4, 23.88, 27, 30, 8, 
4, 23.88, 27, 30, 9, 
5, 23.88, 27, 30, 10, 
5, 23.88, 27, 30, 11, 
6, 23.88, 27, 30, 12, 
6, 23.88, 27, 30, 13, 
7, 23.88, 27, 30, 14, 
7, 23.88, 27, 30, 15, 
8, 23.88, 27, 30, 16, 
8, 23.88, 27, 30, 17, 
9, 23.77, 27, 30, 18, 
9, 23.88, 27, 30, 19, 
10, 23.88, 27, 30, 20, 
10, 23.77, 27, 30, 21, 
11, 23.88, 27, 30, 22, 
11, 23.88, 27, 30, 23, 
12, 23.88, 27, 30, 24, 
12, 23.77, 27, 30, 25, 
13, 23.88, 27, 30, 26, 
13, 23.77, 27, 30, 27, 
14, 23.88, 27, 30, 28, 
14, 23.88, 27, 30, 29, 
15, 23.88, 27, 30, 30, 
15, 23.88, 27, 30, 31, 
16, 23.77, 27, 30, 32, 
16, 23.77, 27, 30, 33, 
17, 23.77, 27, 30, 34, 
17, 23.77, 27, 30, 35, 
18, 23.88, 27, 30, 36, 
18, 23.88, 27, 30, 37, 
19, 23.88, 27, 30, 38, 
19, 23.77, 27, 30, 39, 
20, 23.88, 27, 30, 40, 
20, 23.77, 27, 30, 41, 
21, 23.77, 27, 30, 42, 
21, 23.77, 27, 30, 43, 
22, 23.77, 27, 30, 44, 
22, 23.88, 27, 30, 45, 
23, 23.77, 27, 30, 46, 
23, 23.88, 27, 30, 47, 
24, 23.77, 27, 30, 48, 
24, 23.88, 27, 30, 49, 
25, 23.77, 27, 30, 50, 
